Activity Type,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Date
Running,Warszawa Inne,12.39,--,16:35:00,0,0,--,--,--,00:04:50,1:41,65,65,0.0,59:56.00,1,00:58:59,00:59:56,71,87,2022-02-04
Running,Warszawa Inne,11.75,0,18:33:06,0,0,--,--,--,00:05:11,1:52,72,72,0.0,01:00:50.100,1,00:59:05,01:00:51,70,88,2022-02-01
Running,Izabelin Inne,23.73,--,13:52:00,0,0,--,--,--,00:04:54,2:03,152,148,0.0,02:03:23.100,1,02:02:14,02:03:24,81,106,2022-01-29
Running,Warszawa Inne,11.11,0,18:08:03,0,0,--,--,--,00:05:01,1:12,106,108,0.0,55:50.00,1,00:54:48,00:55:50,77,96,2022-01-27
Running,Warszawa Inne,20.72,0,14:04:18,0,0,--,--,--,00:05:07,2:09,158,152,0.0,01:45:51.00,1,01:44:47,01:45:51,76,102,2022-01-23
Running,Warszawa Bieganie,12.71,786,18:59:27,155,176,4.5,163,256,00:04:57,2:55,59,59,1.26,00:01.37,36,01:01:48,01:11:22,63,98,2022-01-20
Running,Warszawa Bieganie,8.41,569,19:36:29,167,183,5.0,165,247,00:04:40,2:47,60,79,1.31,02:05.96,9,00:38:58,00:42:45,169,187,2022-01-17
Running,Izabelin Bieganie,5.32,354,14:16:21,155,170,3.7,165,217,00:04:58,3:18,21,21,1.23,01:37.71,6,00:26:13,00:26:25,89,97,2022-01-15
Running,Warszawa Bieganie,15.14,983,20:01:21,154,171,5.0,165,256,00:05:00,3:02,58,52,1.22,00:44.98,16,01:14:51,01:16:46,92,111,2022-01-13
Running,Warszawa Inne,4.93,0,08:05:04,0,0,--,--,--,00:05:42,0:30,27,27,0.0,28:04.100,1,00:23:17,00:28:05,78,93,2022-01-12
Running,Warszawa Inne,10.69,0,18:45:08,0,0,--,--,--,00:05:19,1:55,79,78,0.0,56:52.100,1,00:52:49,00:56:53,80,94,2022-01-10
Running,Rzewnie Inne,9.37,0,14:36:30,0,0,--,--,--,00:05:44,1:46,72,72,0.0,53:42.100,1,00:45:17,00:53:43,83,103,2022-01-07
Running,Warszawa Inne,6.12,0,17:24:49,0,0,--,--,--,00:05:07,1:52,47,48,0.0,31:20.100,1,00:31:01,00:31:21,77,94,2022-01-02
